"variable","E","k","rho","mae","rmse"
"green_density",15,14,0.788553138076197,0.0734034553286812,0.122760540919603
"green_density",15,15,0.785329103905149,0.0742771686260926,0.123648124102955
"green_density",15,16,0.782183018414747,0.0749514160900178,0.124512470475217
"green_density",15,17,0.77943281012676,0.0756532192116888,0.125259014630046
"distance_to_water",2,4,0.987735562870957,237.656558615642,335.331226706286
"distance_to_water",2,5,0.988250975128911,232.610101848934,328.231356137895
"distance_to_water",2,6,0.988496051270842,230.266926238108,324.766701701712
"distance_to_water",2,7,0.988687623785853,228.57354656653,322.048255682925
"distance_to_water",2,8,0.988802190003658,227.38396793291,320.41487064661
"distance_to_water",2,9,0.988885150519303,226.919271017297,319.225323691204
"distance_to_water",2,10,0.988963314158384,226.003080452582,318.086912445222
"distance_to_water",2,11,0.989028192200009,225.328978011487,317.149799218968
"distance_to_water",2,12,0.989086754665287,224.635733690465,316.301531279813
"distance_to_water",2,13,0.989133526358706,224.235050690969,315.626674466542
"distance_to_water",2,14,0.98917152725274,223.804771277372,315.074192686642
"distance_to_water",2,15,0.989187147390899,223.691509178172,314.84082567497
"distance_to_water",2,16,0.989196293902848,223.720493757247,314.709403979605
"distance_to_water",2,17,0.989209824741649,223.558785091011,314.512699558899
"distance_to_water",3,4,0.995135581182833,121.346931941456,211.644398094866
"distance_to_water",3,5,0.995391295755421,120.620928405508,205.980763014353
"distance_to_water",3,6,0.995379631913571,121.227590937525,206.21177533511
"distance_to_water",3,7,0.995496420489042,122.155157517726,203.561534608482
"distance_to_water",3,8,0.995497283389725,123.125182214541,203.531797926103
"distance_to_water",3,9,0.995485788123937,123.861854302092,203.790067032222
"distance_to_water",3,10,0.995472771960221,124.682772125576,204.08615439059
"distance_to_water",3,11,0.995446410391328,125.571492357022,204.671988097868
"distance_to_water",3,12,0.995433321419191,126.355050993744,204.967856720218
